"胸部画像診断における「ホルツクネヒト腔」の説明として正しいものはどれか。,正面像で心臓の右側に見える空間,右前斜位像で見える明るい空間陰影,左前斜位像で見える明るい空間陰影,側面像で気管の後ろに見える空間,CTでのみ確認できる血管の隙間,選択肢3,資料によれば「左前斜位像ではホルツクネヒト腔と呼ばれる明るい空間陰影が認められる」のが正解です [1]。"
"食道奇静脈陥凹（esophago-azygos recess）の画像的特徴はどれか。,椎体の左側を下行する線影,心臓の左縁を形成する線影,椎体のほぼ中央を下行する右肺内側の含気を示唆する線,横隔膜と重なる水平な線影,大動脈弓の直上にある空間,選択肢3,資料には「椎体のほぼ中央を下行する右肺内側の含気を示唆する線である」と明記されています [1]。"
"胸部正面像における心陰影の構成について、正しい記述はどれか。,右第1弓は大動脈弓である,右第2弓は右心室である,右第2弓は右心房である,左第2弓は左心室である,左第4弓は肺動脈幹である,選択肢3,資料の設問4では「右第2弓は右心室である」という記述が誤りとされており、解剖学的に右心房が正解です [1]。"
"心胸郭比（CTR）の正常上限値として、資料に基づき適切なものはどれか。,0.4,0.45,0.5,0.55,0.6,選択肢3,資料の設問5では「正常上限値は0.6である」という記述が誤りとされています。一般に成人の基準は0.5（50％）以下です [1]。"
"肺の解剖学的単位の構成について正しいものはどれか。,数個の2次小葉が集まって細葉を形成する,数個の細葉が集まって2次小葉を形成する,1次小葉が集まって2次小葉を形成する,肺野全体を1つの小葉と呼ぶ,2次小葉は血管のみで構成される,選択肢2,資料の設問6では「数個の2次小葉の集まりが細葉となる」という記述が誤りとされており、実際には細葉が集まって2次小葉を形成します [1]。"
"シルエットサインが「陽性」とされるのはどのような状態か。,心陰影に隣接する病変があっても辺縁が消失しないとき,心陰影に隣接する病変によって辺縁が消失したとき,肺野の末梢に結節影があるとき,肺門部が拡大しているとき,気胸で肺が虚脱しているとき,選択肢2,資料によれば、隣接する心陰影などの辺縁が消失した場合に「シルエットサイン陽性」とされます [1]。"
"エアーブロンコグラム（気管支透亮像）の定義として正しいものはどれか。,気管支が拡張して見える所見,肺胞の中に空気がなくなり、気管支内だけが白く見える所見,水軟部組織密度の陰影内に末梢の気管支内の空気が樹枝状に見える所見,肺の血管が拡張して見える所見,胸膜の間に空気が溜まる所見,選択肢3,資料には「水軟部組織の陰影が存在するときに末梢の気管支内の空気が樹枝状に見える陰影」と定義されています [1]。"
"エアーブロンコグラムが見られた場合に示唆される病変はどれか。,肺内の血管病変,胸膜疾患,縦隔腫瘍,肺実質性の陰影,気胸,選択肢4,資料には「肺実質性の陰影であることを示唆する重要な所見」と記載されています [1]。"
"コンソリデーションの画像診断における説明として適切なものはどれか。,含気腔が液体や組織に置換された境界不明瞭な陰影,肺野の透過性が亢進した状態,境界が極めて明瞭な腫瘤影,肺胞が破壊されて空洞化した状態,肺紋理が消失した状態,選択肢1,資料には「含気腔が液体や組織に置換された状態で境界不明瞭な陰影」とあります [1][2]。"
"エキストラプルーラルサイン（胸膜外徴候）が陽性のとき、病変と胸壁のなす角度はどうなるか。,鋭角（90度未満）,垂直（90度）,鈍角（90度超）,角度は形成されない,常に平行になる,選択肢3,資料の設問11では「角度が鋭角なときサイン陽性とされる」という記述が誤りとされています。胸膜外病変は鈍角をなすのが特徴です [2]。"
"肺がんの発生部位による分類で、肺門型に多く見られる組織型はどれか。,腺がんと大細胞がん,扁平上皮がんと小細胞がん,腺がんと小細胞がん,大細胞がんと扁平上皮がん,腺がんのみ,選択肢2,資料の分類では、肺門型には扁平上皮がんと小細胞がんが含まれます [2]。"
